alpha,gamma,epsilon,mean_avg_reward_last_100,std_avg_reward_last_100,mean_training_time_sec,experiment_type
0.3,0.0,0.9,-718.5000000000001,12.126694520766993,24.32593731880188,gamma_vs_epsilon
0.3,0.0,1.0,-774.514,8.822184763424533,24.719968700408934,gamma_vs_epsilon
0.3,0.2,0.0,7.914,0.058514955353311214,3.331499195098877,gamma_vs_epsilon
0.3,0.2,0.1,2.3920000000000003,0.622009646227452,3.641922664642334,gamma_vs_epsilon
0.3,0.2,0.3,-13.995999999999999,1.5123571006875325,4.389920711517334,gamma_vs_epsilon
0.3,0.2,0.5,-46.12,4.703564605700659,5.679629325866699,gamma_vs_epsilon
0.3,0.2,0.7,-128.326,10.125304143580083,8.696378946304321,gamma_vs_epsilon
0.3,0.2,0.9,-514.85,14.74279078058154,19.99249920845032,gamma_vs_epsilon
0.3,0.2,1.0,-772.912,7.850975480792196,24.68335094451904,gamma_vs_epsilon
0.3,0.6,0.0,8.02,0.01897366596100987,2.568245506286621,gamma_vs_epsilon
0.3,0.6,0.1,1.828,0.5525721672324801,2.839233064651489,gamma_vs_epsilon
0.3,0.6,0.3,-14.382,1.169091955322591,3.5205601692199706,gamma_vs_epsilon
0.3,0.6,0.5,-46.572,1.5180303027278472,4.774840879440307,gamma_vs_epsilon
0.3,0.6,0.7,-129.482,5.925076877138386,7.839073514938354,gamma_vs_epsilon
0.3,0.6,0.9,-531.214,21.409183636934852,19.40650086402893,gamma_vs_epsilon
0.3,0.6,1.0,-771.5459999999999,10.822348358835976,25.01992416381836,gamma_vs_epsilon
0.3,0.9,0.0,8.012,0.024819347291981184,2.398402738571167,gamma_vs_epsilon
0.3,0.9,0.1,2.4579999999999997,0.76833326102675,2.656004238128662,gamma_vs_epsilon
0.3,0.9,0.3,-14.187999999999999,0.6943889400040875,3.3383436679840086,gamma_vs_epsilon
0.3,0.9,0.5,-45.76800000000001,2.9801436207001832,4.65871148109436,gamma_vs_epsilon
0.3,0.9,0.7,-133.524,6.862222963442671,7.736496686935425,gamma_vs_epsilon
0.3,0.9,0.9,-523.378,11.234591937404755,19.883982038497926,gamma_vs_epsilon
0.3,0.9,1.0,-777.28,4.335329283918325,25.030528116226197,gamma_vs_epsilon
0.3,1.0,0.0,8.028,0.024819347291981642,2.441825771331787,gamma_vs_epsilon
0.3,1.0,0.1,2.254,0.74325231247538,2.6763540267944337,gamma_vs_epsilon
0.3,1.0,0.3,-13.922,0.8145771909401833,3.368471956253052,gamma_vs_epsilon
0.3,1.0,0.5,-45.15,2.0467046684854173,4.585051441192627,gamma_vs_epsilon
0.3,1.0,0.7,-136.754,8.177861823239619,7.900234985351562,gamma_vs_epsilon
0.3,1.0,0.9,-529.404,10.158351441055778,20.480998754501343,gamma_vs_epsilon
0.3,1.0,1.0,-770.242,10.48340479042949,25.68203206062317,gamma_vs_epsilon
